,transaction_date,transaction_hour,location_state,location_city,rewards_number,rewards_member,num_of_items,coupon_flag,discount_amt,order_amt
9042,2020-07-03,7:06 PM,Florida,Bradenton,915-514-97,False,7,,,$21.07
9043,2020-03-18,9:05 AM,Texas,Plano,707-074-44,True,26,,,$2220.53
9044,2020-01-03,6:23 PM,Florida,Fort Lauderdale,,,32,,,$73.42
9045,2020-04-03,12:54 PM,Georgia,Atlanta,,,22,,,$224.34
9046,2020-04-07,9:04 AM,California,Cupertino,499-130-00,True,48,,,$1060.00
9047,2020-10-11,2:54 PM,Mississippi,Columbus,371-250-39,True,24,,,$165.69
9048,2020-08-03,6:20 PM,Florida,Clearwater,809-685-84,False,28,,,$179.25
9049,2020-07-29,11:06 AM,Alabama,Tuscaloosa,,,3,,,$38.49
9050,2020-10-27,12:57 PM,Georgia,Atlanta,726-083-79,True,4,,,$42.24
9051,2019-10-13,11:23 AM,Florida,West Palm Beach,179-588-57,True,14,,,$212.78
9052,2020-04-23,12:14 PM,South Carolina,Columbia,,,10,,,$175.16
9053,2019-12-03,3:16 PM,Florida,Lehigh Acres,,,10,,,$225.66
9054,2019-10-22,6:54 PM,Florida,Tampa,378-893-17,True,28,,,$180.00
9055,2020-10-18,4:44 PM,Georgia,Atlanta,158-151-83,False,21,,,$140.05
9056,2020-08-29,7:33 PM,Florida,Orlando,144-429-37,True,4,,,$48.02
9057,2020-07-20,4:07 PM,Mississippi,Jackson,424-879-05,True,20,Yes,0.21,$22.64
9058,2020-06-23,12:33 PM,Florida,Jacksonville,,,17,,,$220.24
9059,2020-03-31,3:25 PM,Georgia,Columbus,,,11,,,$128.44
9060,2020-06-17,12:29 PM,Florida,Jacksonville,906-047-55,False,28,,,$174.21
9061,2020-04-21,8:26 PM,Georgia,Columbus,,,5,Yes,0.3,$184.60
9062,2020-08-01,2:51 PM,Florida,Miami,,,10,,,$102.60
9063,2019-10-29,8:03 PM,Florida,Tampa,629-155-54,True,27,,,$29.96
9064,2020-07-18,5:15 PM,Florida,Tallahassee,866-768-72,True,6,,,$50.54
9065,2020-01-12,2:37 PM,Georgia,Atlanta,988-490-02,False,33,Yes,0.17,$164.48
9066,2019-11-05,3:41 PM,Georgia,Macon,,,4,,,$114.41
9067,2020-02-02,6:08 PM,Florida,Clearwater,,,24,Yes,0.11,$127.22
9068,2020-03-02,8:58 PM,Florida,Fort Lauderdale,,,14,,,$87.22
9069,2020-10-05,5:49 PM,Florida,Tallahassee,,,12,,,$61.91
9070,2019-10-22,11:38 AM,Florida,Boca Raton,703-077-88,True,14,Yes,0.14,$112.32
9071,2020-05-14,6:51 PM,Florida,Saint Petersburg,,,11,,,$38.30
9072,2020-03-28,11:23 AM,Florida,Vero Beach,326-275-84,True,7,,,$19.75
9073,2020-04-29,12:53 PM,Florida,Sarasota,363-714-01,False,10,,,$220.51
9074,2020-03-21,2:57 PM,Alabama,Mobile,,,17,,,$50.03
9075,2020-02-23,1:22 PM,Georgia,Savannah,,,15,,,$119.32
9076,2020-09-21,12:14 PM,Alabama,Birmingham,742-308-70,False,32,Yes,0.15,$37.98
9077,2020-05-05,3:40 PM,Florida,Lakeland,804-900-15,True,33,,,$206.31
9078,2020-02-25,1:06 PM,Florida,Boynton Beach,074-937-77,True,21,,,$156.08
9079,2020-09-07,7:31 PM,Alabama,Birmingham,,,6,,,$92.83
9080,2020-07-13,3:50 PM,Florida,Orlando,859-621-36,True,4,,,$66.19
9081,2020-03-21,8:34 PM,Georgia,Augusta,,,15,,,$199.05
9082,2020-09-20,12:32 PM,Florida,Miami,,,24,,,$86.01
9083,2020-09-22,12:23 PM,Florida,Tampa,499-347-94,True,12,,,$96.58
9084,2020-02-05,3:54 PM,Florida,Tampa,,,13,,,$43.36
9085,2020-03-10,6:49 PM,Florida,Gainesville,,,14,,,$191.63
9086,2020-10-04,6:11 PM,Florida,Tampa,,,19,,,$209.46
9087,2020-09-19,7:10 PM,Georgia,Atlanta,730-004-63,True,18,,,$67.84
9088,2019-11-05,7:03 PM,Florida,Gainesville,547-923-03,False,19,Yes,0.48,$30.28
9089,2019-12-17,4:07 PM,Alabama,Mobile,580-783-85,True,14,,,$225.70
9090,2020-07-04,4:01 PM,Florida,Pompano Beach,,,3,Yes,0.16,$215.21
9091,2019-11-26,1:26 PM,Florida,Hialeah,117-891-32,True,31,Yes,0.42,$94.00
9092,2020-08-18,5:01 PM,Florida,Miami,930-114-83,False,3,Yes,0.43,$156.88
9093,2020-08-07,4:39 PM,Georgia,Savannah,,,25,Yes,0.2,$35.21
9094,2020-10-04,11:31 AM,Alabama,Mobile,,,8,,,$94.65
9095,2020-01-08,11:54 AM,Alabama,Mobile,,,9,,,$127.96
9096,2020-06-11,6:39 PM,Mississippi,Jackson,814-656-29,True,29,,,$178.66
9097,2020-02-17,7:21 PM,Florida,Orlando,,,16,,,$94.30
9098,2020-10-10,11:42 AM,Georgia,Norcross,874-239-26,False,11,,,$77.85
9099,2019-11-01,2:19 PM,Florida,Fort Lauderdale,221-966-52,True,6,,,$172.81
9100,2019-12-19,4:53 PM,Florida,North Port,133-365-77,False,29,,,$92.77
9101,2019-12-28,2:56 PM,Georgia,Savannah,015-706-91,True,33,,,$198.97
9102,2019-11-12,1:17 PM,Florida,Sarasota,413-146-18,True,6,,,$201.75
9103,2020-06-06,12:26 PM,Florida,Daytona Beach,762-168-37,False,32,Yes,0.34,$176.69
9104,2020-01-22,5:31 PM,Georgia,Gainesville,,,14,,,$216.72
9105,2020-08-15,4:29 PM,Georgia,Valdosta,869-969-44,True,20,Yes,0.45,$172.33
9106,2020-04-23,3:08 PM,Georgia,Columbus,986-524-07,False,34,,,$20.11
9107,2020-01-07,8:36 PM,Florida,West Palm Beach,148-711-70,True,13,,,$178.10
9108,2020-05-30,4:06 PM,Mississippi,Jackson,,,3,,,$150.24
9109,2020-02-24,3:32 PM,Mississippi,Columbus,,,5,Yes,0.48,$164.06
9110,2019-11-26,3:37 PM,Mississippi,Jackson,,,34,Yes,0.5,$78.65
9111,2020-10-21,1:09 PM,Florida,Tampa,,,24,,,$194.12
9112,2020-07-21,12:52 PM,Florida,Kissimmee,674-654-17,True,8,Yes,0.48,$211.17
9113,2020-05-06,1:14 PM,Florida,Jacksonville,,,16,,,$120.92
9114,2019-12-09,11:05 AM,Georgia,Savannah,070-938-37,False,24,Yes,0.27,$223.12
9115,2020-06-08,8:18 PM,Alabama,Birmingham,850-319-41,False,10,Yes,0.22,$220.44
9116,2020-05-01,11:39 AM,Florida,Clearwater,520-116-16,False,6,,,$199.60
9117,2020-10-12,2:07 PM,Georgia,Atlanta,042-437-76,True,30,,,$116.14
9118,2020-10-06,11:06 AM,Georgia,Lawrenceville,,,28,,,$141.76
9119,2020-02-15,7:22 PM,Florida,Pinellas Park,023-774-86,False,18,,,$102.03
9120,2020-07-25,11:18 AM,Alabama,Anniston,123-283-70,True,15,Yes,0.45,$175.16
9121,2020-06-01,4:13 PM,Georgia,Atlanta,362-695-88,False,25,,,$115.93
9122,2020-01-17,6:12 PM,Alabama,Montgomery,054-861-33,True,8,,,$34.75
9123,2020-04-01,6:28 PM,Alabama,Birmingham,218-139-64,False,27,,,$119.84
9124,2020-07-04,7:38 PM,Florida,Homestead,378-080-48,True,3,,,$108.16
9125,2020-01-10,7:53 PM,Florida,Fort Lauderdale,754-980-89,False,24,,,$161.63
9126,2020-02-04,3:37 PM,Florida,Melbourne,106-913-07,False,29,Yes,0.36,$134.30
9127,2020-05-18,7:24 PM,Alabama,Birmingham,,,30,Yes,0.3,$171.84
9128,2020-05-31,2:09 PM,Florida,Pensacola,,,34,,,$182.04
9129,2020-05-05,7:07 PM,Florida,Tampa,,,19,,,$222.85
9130,2020-09-02,5:47 PM,Florida,Ocala,148-829-46,True,33,Yes,0.23,$196.20
9131,2020-05-11,7:25 PM,Georgia,Lawrenceville,854-278-38,False,16,,,$147.53
9132,2020-09-22,1:31 PM,Florida,Pensacola,280-945-41,False,24,,,$71.34
9133,2020-06-07,7:30 PM,Florida,Naples,,,20,Yes,0.27,$172.02
9134,2019-11-28,4:23 PM,Florida,Miami,277-966-58,False,11,,,$37.39
9135,2020-04-16,11:06 AM,Florida,Fort Myers,,,20,,,$210.89
9136,2020-04-23,12:32 PM,Georgia,Atlanta,672-678-50,True,28,,,$136.22
9137,2020-05-14,3:51 PM,Alabama,Birmingham,730-148-89,False,20,,,$190.78
9138,2020-04-17,6:58 PM,Georgia,Savannah,247-624-49,False,4,Yes,0.23,$174.39
9139,2019-10-07,6:17 PM,Florida,Fort Myers,895-682-37,False,33,,,$66.86
9140,2020-05-05,1:56 PM,Georgia,Macon,064-066-35,True,29,Yes,0.5,$77.29
9141,2020-06-01,4:22 PM,Florida,West Palm Beach,,,34,,,$136.13
9142,2020-10-02,4:13 PM,Alabama,Huntsville,571-763-45,False,11,,,$154.24
9143,2020-05-21,8:41 PM,Florida,Miami,373-479-98,True,19,,,$164.21
9144,2020-10-01,7:18 PM,Georgia,Savannah,,,24,,,$220.40
9145,2020-08-07,3:31 PM,Florida,Pensacola,549-784-66,False,6,,,$115.11
9146,2019-11-24,12:03 PM,Florida,Miami,,,23,,,$176.65
9147,2019-10-28,3:55 PM,Florida,Jacksonville,050-585-55,True,28,,,$199.13
9148,2020-10-23,11:23 AM,Georgia,Athens,654-988-42,True,26,,,$209.76
9149,2019-10-19,5:20 PM,Alabama,Birmingham,,,4,,,$34.71
9150,2019-12-07,4:05 PM,Florida,Fort Lauderdale,717-211-76,True,5,,,$228.66
9151,2019-12-06,2:09 PM,Florida,Miami,865-745-28,True,28,,,$128.70
9152,2019-12-31,7:56 PM,Florida,Miami,,,30,Yes,0.11,$122.51
9153,2020-07-21,8:14 PM,Alabama,Mobile,,,26,,,$19.60
9154,2019-10-02,11:26 AM,Florida,Fort Lauderdale,,,27,,,$70.95
9155,2020-02-08,5:44 PM,Florida,Miami,,,10,Yes,0.36,$83.53
9156,2020-02-08,3:51 PM,Georgia,Marietta,,,34,,,$146.53
9157,2020-07-25,3:37 PM,Georgia,Columbus,,,5,Yes,0.41,$177.01
9158,2020-05-03,2:01 PM,Florida,Saint Augustine,,,26,Yes,0.39,$231.42
9159,2019-11-28,8:46 PM,Florida,Lakeland,003-065-34,False,12,Yes,0.33,$152.53
9160,2019-11-02,12:50 PM,South Carolina,Charleston,,,8,,,$212.15
9161,2020-07-05,1:37 PM,Florida,Miami,156-466-80,True,4,Yes,0.36,$231.25
9162,2020-03-28,5:09 PM,Florida,Fort Pierce,,,32,,,$96.72
9163,2020-09-02,1:09 PM,Florida,Naples,,,4,,,$111.99
9164,2020-10-03,11:56 AM,Georgia,Savannah,,,22,,,$166.52
9165,2020-06-25,5:51 PM,Florida,Tampa,,,17,Yes,0.22,$78.73
9166,2020-01-20,3:23 PM,South Carolina,Spartanburg,,,13,Yes,0.25,$86.30
9167,2019-12-22,1:47 PM,Florida,Clearwater,510-326-70,True,10,,,$208.91
9168,2020-07-28,2:19 PM,Alabama,Birmingham,,,11,Yes,0.48,$135.12
9169,2019-12-15,3:46 PM,California,Cupertino,499-130-00,True,48,,,$2250.18
9170,2019-11-13,11:06 AM,Florida,Sarasota,910-176-42,False,14,,,$92.53
9171,2020-06-13,8:46 PM,Florida,Saint Petersburg,862-705-98,True,4,,,$106.80
9172,2020-02-09,3:26 PM,Georgia,Columbus,,,28,Yes,0.22,$35.07
9173,2020-01-11,3:39 PM,South Carolina,Columbia,965-781-86,False,7,,,$32.20
9174,2020-03-04,7:07 PM,Alabama,Birmingham,,,21,Yes,0.45,$62.74
9175,2020-09-21,8:07 PM,Florida,Miami,,,15,,,$76.44
9176,2020-04-09,12:55 PM,Florida,Bradenton,149-770-20,False,7,,,$110.87
9177,2020-08-28,1:06 PM,Georgia,Atlanta,899-092-17,False,22,,,$171.25
9178,2020-08-25,5:21 PM,Florida,Naples,,,16,,,$82.27
9179,2020-10-28,3:13 PM,Florida,Miami,609-004-24,False,16,,,$135.71
9180,2020-06-19,3:35 PM,Alabama,Huntsville,,,9,,,$111.64
9181,2020-10-09,2:04 PM,Florida,Daytona Beach,,,30,,,$226.34
9182,2020-03-07,4:30 PM,Georgia,Atlanta,857-372-86,False,13,Yes,0.22,$98.79
9183,2019-12-10,6:45 PM,Florida,Pensacola,697-559-69,False,19,Yes,0.4,$149.47
9184,2020-08-31,6:06 PM,Mississippi,Jackson,186-013-91,False,25,,,$204.98
9185,2019-11-28,5:30 PM,Georgia,Atlanta,,,7,,,$40.27
9186,2019-10-30,7:57 PM,Florida,Jacksonville,,,28,,,$35.44
9187,2020-05-29,12:04 PM,Alabama,Montgomery,191-764-33,True,32,,,$37.90
9188,2019-11-15,12:17 PM,Georgia,Decatur,704-779-43,False,12,,,$34.34
9189,2020-02-22,7:01 PM,Mississippi,Jackson,,,22,,,$82.60
9190,2020-05-12,6:27 PM,Florida,Orlando,055-762-70,True,4,,,$172.40
9191,2019-11-25,1:43 PM,Florida,Orlando,436-137-94,False,27,,,$173.69
9192,2020-02-23,5:06 PM,Florida,Jacksonville,,,3,,,$93.86
9193,2020-07-08,8:14 PM,Florida,Port Saint Lucie,835-123-17,True,12,,,$100.12
9194,2020-04-11,7:34 PM,Florida,Orlando,706-904-84,True,20,,,$171.33
9195,2020-04-28,11:44 AM,Georgia,Augusta,,,10,,,$165.95
9196,2020-01-12,7:44 PM,Georgia,Columbus,,,20,Yes,0.25,$223.33
9197,2020-04-23,4:39 PM,South Carolina,Charleston,,,7,,,$133.25
9198,2020-04-26,8:44 PM,Florida,Vero Beach,,,28,,,$53.88
9199,2020-04-29,11:53 AM,Alabama,Montgomery,135-244-92,False,13,,,$81.19
9200,2020-03-10,2:55 PM,South Carolina,Columbia,265-390-43,True,23,,,$31.15
9201,2020-06-09,4:23 PM,Florida,Tampa,,,14,,,$174.57
9202,2020-04-03,4:02 PM,Florida,Orlando,425-787-77,False,21,Yes,0.31,$219.19
9203,2020-10-25,3:37 PM,Florida,Jacksonville,795-589-44,False,31,Yes,0.14,$213.46
9204,2020-01-29,6:42 PM,Florida,Hialeah,689-922-06,True,26,,,$177.73
9205,2020-05-26,7:08 PM,Alabama,Huntsville,269-397-18,False,12,,,$92.71
9206,2020-02-14,11:16 AM,Florida,Tallahassee,171-878-45,False,8,,,$74.10
9207,2019-12-17,12:48 PM,Florida,Kissimmee,,,23,,,$50.77
9208,2020-02-11,7:03 PM,Florida,Melbourne,098-426-15,True,23,,,$202.41
9209,2019-12-07,4:30 PM,Florida,Panama City,,,28,,,$188.28
9210,2020-02-07,2:11 PM,Florida,Clearwater,397-779-97,True,31,,,$22.17
9211,2020-01-28,8:35 PM,Georgia,Atlanta,709-856-26,True,12,,,$235.94
9212,2019-11-18,8:02 PM,Florida,Hialeah,262-117-35,False,4,,,$158.57
9213,2019-10-21,8:45 PM,Alabama,Mobile,,,22,,,$172.69
9214,2019-10-24,4:33 PM,Georgia,Savannah,287-111-79,False,5,Yes,0.41,$58.25
9215,2020-09-08,3:54 PM,Alabama,Mobile,241-417-89,True,29,,,$129.85
9216,2020-09-20,4:12 PM,Florida,Fort Lauderdale,,,10,Yes,0.35,$141.19
9217,2020-02-05,6:03 PM,Mississippi,Jackson,,,12,,,$49.76
9218,2020-03-13,1:58 PM,Florida,Fort Pierce,,,7,Yes,0.42,$180.20
9219,2020-06-25,11:40 AM,Florida,Delray Beach,172-096-81,True,8,,,$65.52
9220,2020-01-02,8:09 PM,Alabama,Birmingham,450-652-22,True,18,Yes,0.33,$229.87
9221,2020-02-24,7:17 PM,Florida,Saint Petersburg,127-504-12,True,7,,,$203.95
9222,2020-01-15,8:21 PM,Florida,Clearwater,,,19,,,$165.20
9223,2020-05-12,7:05 PM,Florida,Fort Lauderdale,,,32,,,$171.01
9224,2020-06-28,5:08 PM,Florida,Tampa,346-097-77,False,11,,,$73.99
9225,2020-03-20,8:30 PM,Florida,Jacksonville,274-125-99,False,26,,,$38.97
9226,2019-11-11,1:06 PM,Florida,Tallahassee,,,19,,,$127.49
9227,2019-10-12,6:02 PM,Florida,Punta Gorda,896-377-58,True,34,Yes,0.27,$106.10
9228,2020-04-15,3:14 PM,Florida,Fort Myers,885-783-64,True,29,Yes,0.17,$160.36
9229,2020-05-20,1:05 PM,Alabama,Birmingham,086-226-54,True,27,,,$164.93
9230,2019-11-25,3:23 PM,Georgia,Atlanta,,,10,,,$202.73
9231,2019-12-04,6:46 PM,Florida,Bradenton,351-059-68,False,33,Yes,0.41,$92.21
9232,2019-11-14,8:21 PM,Alabama,Mobile,956-219-85,False,16,Yes,0.32,$144.23
9233,2020-04-09,4:07 PM,Florida,Jacksonville,646-418-44,False,19,,,$84.31
9234,2020-10-23,11:22 AM,Florida,Fort Myers,,,15,Yes,0.11,$139.04
9235,2020-05-31,12:11 PM,Georgia,Atlanta,782-321-23,True,21,Yes,0.33,$63.53
9236,2019-12-11,5:25 PM,Alabama,Huntsville,,,25,Yes,0.24,$55.62
9237,2020-10-01,12:42 PM,Florida,Tampa,731-177-27,False,19,,,$196.75
9238,2020-07-06,12:44 PM,Florida,Homestead,,,10,,,$127.54
9239,2019-11-09,7:13 PM,Georgia,Augusta,,,32,Yes,0.25,$111.56
9240,2020-03-18,2:13 PM,Florida,Fort Lauderdale,,,12,,,$149.93
9241,2019-11-06,1:18 PM,Alabama,Montgomery,544-305-59,False,8,,,$163.11
9242,2020-09-08,7:31 PM,Florida,Boca Raton,,,14,Yes,0.32,$221.49
9243,2020-03-09,7:07 PM,Florida,Miami,169-021-57,True,14,,,$193.57
9244,2020-04-20,6:49 PM,Georgia,Atlanta,432-803-28,False,5,,,$147.78
9245,2020-03-05,2:09 PM,Florida,Miami,657-471-29,True,5,,,$32.27
9246,2020-04-23,11:56 AM,Florida,Naples,,,8,,,$122.66
9247,2020-03-09,8:54 PM,Alabama,Birmingham,391-703-17,False,24,Yes,0.22,$63.45
9248,2020-05-31,8:33 PM,Florida,Naples,416-615-04,False,9,,,$43.53
9249,2020-10-19,3:17 PM,Alabama,Montgomery,181-235-12,True,6,Yes,0.15,$26.72
9250,2020-05-28,5:30 PM,South Carolina,Charleston,,,9,,,$117.23
9251,2020-10-04,11:59 AM,South Carolina,Myrtle Beach,,,5,,,$94.84
9252,2020-04-16,4:01 PM,Florida,Panama City,378-330-26,False,28,,,$205.25
9253,2019-10-12,1:28 PM,Georgia,Augusta,,,5,Yes,0.38,$133.88
9254,2020-08-02,7:40 PM,Alabama,Huntsville,472-933-91,True,19,,,$162.46
9255,2020-08-02,12:03 PM,South Carolina,Charleston,,,18,Yes,0.3,$207.64
9256,2020-01-25,11:39 AM,Georgia,Atlanta,459-490-03,False,6,,,$144.61
9257,2020-09-29,8:02 PM,South Carolina,Columbia,,,19,,,$81.35
9258,2019-10-12,4:10 PM,Florida,Fort Lauderdale,,,24,,,$107.94
9259,2019-12-07,12:41 PM,Florida,Tallahassee,415-310-33,False,3,Yes,0.3,$27.27
9260,2019-12-07,8:20 PM,Alabama,Birmingham,559-674-99,False,24,,,$220.37
9261,2020-02-04,12:18 PM,Georgia,Atlanta,964-384-99,False,34,Yes,0.17,$110.41
9262,2019-11-18,2:29 PM,Mississippi,Jackson,358-504-29,False,21,,,$67.93
9263,2020-05-28,2:45 PM,Georgia,Columbus,608-843-63,True,7,,,$19.78
9264,2020-01-17,12:47 PM,Florida,Pensacola,284-329-14,True,9,,,$167.74
9265,2020-07-25,8:00 PM,Florida,Brooksville,112-175-39,True,25,Yes,0.36,$90.07
9266,2020-03-03,8:27 PM,Georgia,Atlanta,,,20,,,$149.77
9267,2020-02-18,8:10 PM,Georgia,Valdosta,050-236-36,False,32,,,$210.54
9268,2020-03-24,6:38 PM,Georgia,Savannah,894-172-09,True,23,Yes,0.15,$121.42
9269,2020-05-27,5:09 PM,Florida,Tampa,438-411-77,True,11,,,$79.68
9270,2020-07-20,2:03 PM,Florida,Miami,663-018-04,True,13,,,$218.17
9271,2020-03-08,4:02 PM,Georgia,Savannah,725-537-51,False,29,Yes,0.28,$44.63
9272,2020-07-12,12:43 PM,Florida,Tampa,,,8,,,$223.82
9273,2020-08-12,11:06 AM,Mississippi,Jackson,,,4,,,$100.45
9274,2020-07-05,6:36 PM,Mississippi,Gulfport,091-579-49,False,20,,,$208.48
9275,2019-11-13,6:37 PM,Florida,Hollywood,659-521-98,False,8,Yes,0.35,$98.19
9276,2020-07-31,6:52 PM,Georgia,Gainesville,220-034-62,True,27,Yes,0.21,$19.81
9277,2020-10-28,2:16 PM,Georgia,Macon,737-981-98,True,32,,,$182.54
9278,2019-10-01,5:02 PM,Georgia,Alpharetta,575-888-50,True,5,,,$158.97
9279,2020-07-20,4:07 PM,Florida,Orlando,193-105-66,True,8,,,$88.44
9280,2020-06-17,4:09 PM,Alabama,Montgomery,,,19,Yes,0.23,$69.94
9281,2020-05-24,8:53 PM,Georgia,Valdosta,,,27,,,$116.29
9282,2019-11-06,1:40 PM,Florida,Gainesville,740-161-02,False,30,,,$227.98
9283,2019-11-27,2:43 PM,Florida,Orlando,,,31,Yes,0.4,$28.71
9284,2020-08-06,6:55 PM,Georgia,Atlanta,049-298-93,False,18,,,$105.27
9285,2020-10-03,3:59 PM,Florida,Naples,,,34,Yes,0.11,$89.62
9286,2020-01-21,3:53 PM,Florida,Port Charlotte,608-990-77,False,30,Yes,0.12,$75.46
9287,2019-12-05,12:49 PM,Florida,Ocala,877-006-24,False,24,,,$102.87
9288,2020-04-07,4:22 PM,South Carolina,Spartanburg,491-720-69,True,7,Yes,0.28,$94.72
9289,2020-06-21,8:51 PM,South Carolina,Beaufort,,,15,,,$134.85
9290,2019-10-16,2:38 PM,Florida,Orlando,651-299-13,True,27,,,$234.14
9291,2020-03-28,3:12 PM,Mississippi,Jackson,184-487-63,False,24,,,$158.90
9292,2020-01-08,8:58 PM,Georgia,Athens,364-531-82,True,13,,,$196.58
9293,2020-03-12,6:53 PM,Florida,Ocala,584-068-39,True,3,,,$186.11
9294,2020-08-02,1:08 PM,Georgia,Columbus,113-079-04,True,26,,,$162.21
9295,2019-12-27,3:56 PM,Mississippi,Jackson,048-024-51,False,26,,,$54.73
9296,2019-11-06,3:17 PM,Florida,West Palm Beach,720-029-58,True,6,,,$212.97
9297,2020-06-08,5:13 PM,Georgia,Athens,,,12,Yes,0.16,$112.76
9298,2019-10-13,7:59 PM,Georgia,Columbus,,,20,,,$187.62
9299,2020-03-24,4:07 PM,Georgia,Macon,,,16,,,$22.71
9300,2020-06-09,1:49 PM,Georgia,Augusta,764-023-02,False,30,Yes,0.37,$93.66
9301,2020-10-26,4:12 PM,Georgia,Atlanta,199-712-90,True,32,Yes,0.11,$34.29
9302,2019-11-02,1:24 PM,Florida,Fort Myers,379-700-67,True,7,,,$181.77
9303,2019-12-01,7:24 PM,Alabama,Birmingham,966-611-81,True,19,Yes,0.33,$188.95
9304,2020-05-12,6:02 PM,Florida,Lakeland,124-403-77,True,3,,,$27.66
9305,2020-07-18,11:45 AM,Mississippi,Jackson,,,23,Yes,0.38,$77.21
9306,2020-10-24,12:07 PM,Florida,Clearwater,725-197-32,False,11,,,$26.13
9307,2019-12-24,5:40 PM,Alabama,Huntsville,601-111-65,False,27,,,$102.65
9308,2020-01-06,8:33 PM,Florida,Fort Lauderdale,,,26,,,$130.90
9309,2019-11-17,5:43 PM,Alabama,Mobile,,,16,,,$108.22
9310,2019-11-28,7:53 PM,Florida,Brooksville,,,31,Yes,0.36,$147.27
9311,2020-10-04,4:48 PM,Georgia,Columbus,863-999-01,True,26,,,$22.56
9312,2020-08-13,8:41 PM,Florida,Orlando,685-792-57,False,15,Yes,0.25,$120.50
9313,2019-11-14,7:05 PM,Georgia,Columbus,788-868-27,True,5,,,$200.01
9314,2020-10-25,11:52 AM,Georgia,Columbus,,,27,Yes,0.29,$154.73
9315,2020-04-21,11:40 AM,South Carolina,Spartanburg,,,17,,,$86.12
9316,2019-11-26,7:24 PM,Alabama,Montgomery,,,13,,,$175.26
9317,2020-06-08,1:15 PM,Florida,Hollywood,,,20,,,$188.07
9318,2020-08-27,3:58 PM,Georgia,Savannah,,,13,,,$232.88
9319,2020-02-29,7:24 PM,Alabama,Montgomery,592-580-87,False,21,,,$37.47
9320,2020-08-15,5:32 PM,Alabama,Birmingham,210-812-67,True,6,,,$235.82
9321,2020-06-19,7:11 PM,South Carolina,Greenville,751-357-99,False,6,Yes,0.21,$100.15
9322,2020-10-11,11:44 AM,Florida,Miami,652-431-39,True,14,,,$160.89
9323,2019-10-22,4:39 PM,Florida,Orlando,,,3,,,$213.30
9324,2019-12-13,6:32 PM,Florida,Miami,917-781-43,True,6,,,$229.67
9325,2020-10-09,11:14 AM,Alabama,Mobile,,,34,Yes,0.18,$180.27
9326,2020-02-12,4:36 PM,Florida,Jacksonville,228-895-74,True,4,,,$21.47
9327,2020-05-02,11:20 AM,Florida,Orlando,661-804-10,True,17,,,$30.33
9328,2020-05-10,8:24 PM,Florida,Tallahassee,,,31,Yes,0.14,$104.65
9329,2019-11-21,1:10 PM,Georgia,Augusta,744-476-39,False,25,,,$79.92
9330,2020-08-17,12:39 PM,Florida,Gainesville,731-089-59,False,25,,,$158.01
9331,2019-10-16,7:32 PM,Alabama,Montgomery,,,10,,,$127.84
9332,2020-05-18,7:17 PM,Georgia,Decatur,842-372-04,True,7,,,$180.17
9333,2019-12-30,8:15 PM,Georgia,Macon,,,32,,,$106.33
9334,2019-11-13,12:58 PM,Georgia,Atlanta,613-168-08,False,8,,,$170.02
9335,2019-10-19,2:10 PM,Florida,Miami,089-579-56,False,12,,,$125.23
9336,2020-08-29,8:58 PM,Florida,West Palm Beach,158-442-82,True,7,Yes,0.28,$164.93
9337,2020-08-18,6:40 PM,South Carolina,Greenville,,,23,,,$180.25
9338,2020-06-08,7:29 PM,South Carolina,Florence,,,22,,,$205.53
9339,2020-03-13,8:10 PM,Florida,Fort Lauderdale,976-201-90,False,4,Yes,0.37,$84.59
9340,2019-10-30,12:42 PM,Florida,Melbourne,631-657-31,True,11,,,$214.60
9341,2019-10-25,7:52 PM,Florida,Miami,883-096-65,True,4,,,$149.20
9342,2020-05-12,2:21 PM,Alabama,Birmingham,,,26,,,$139.90
9343,2020-03-27,5:01 PM,Georgia,Atlanta,855-429-74,False,22,,,$77.62
9344,2019-10-08,12:39 PM,Florida,Sarasota,252-912-46,False,33,Yes,0.13,$70.36
9345,2020-04-08,4:15 PM,Georgia,Athens,146-428-90,False,24,Yes,0.49,$201.33
9346,2019-11-17,2:55 PM,Florida,Pensacola,162-032-61,True,16,,,$58.64
9347,2020-06-13,7:30 PM,Florida,Bonita Springs,605-755-61,True,30,,,$24.95
9348,2020-08-24,2:31 PM,Alabama,Birmingham,,,14,Yes,0.45,$102.55
9349,2020-05-20,11:27 AM,Georgia,Marietta,,,17,,,$165.56
9350,2020-04-15,7:30 PM,Florida,Pensacola,,,27,,,$37.14
9351,2019-12-03,3:49 PM,Florida,Clearwater,,,22,,,$198.91
9352,2020-07-04,3:40 PM,Georgia,Macon,501-067-97,True,25,,,$70.08
9353,2020-01-12,8:33 PM,South Carolina,Greenville,629-052-46,True,31,,,$181.14
9354,2019-11-14,4:22 PM,Florida,Pompano Beach,691-636-79,False,31,Yes,0.26,$190.04
9355,2019-11-05,5:34 PM,Alabama,Birmingham,,,29,Yes,0.12,$222.62
9356,2019-10-16,2:10 PM,Florida,Miami,874-470-00,False,30,,,$94.66
9357,2019-12-20,3:03 PM,Alabama,Birmingham,,,7,,,$198.70
9358,2019-12-30,6:00 PM,Florida,Tallahassee,609-312-25,True,32,,,$193.02
9359,2020-08-10,7:47 PM,Mississippi,Jackson,277-827-57,True,32,,,$161.89
9360,2020-09-16,1:03 PM,Florida,Fort Pierce,,,13,,,$111.03
